Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0x7225cfbbce0bbba856f7b5f41513c1526c668f9a5169a1163a3d13fed7b19d18,16086235,1669852823,2022-12-01 00:00:23,0x5295de31d16b54dda6764085c262a401722f2428,19rd2wqa8B413FJMyBUKJwRVqMTADGmL7W,1,000,Multicall
0x4936b65e6b968ba2119d549c614e4c73418fe6e70f59aa1fea3213f48c97d128,16086245,1669852943,2022-12-01 00:02:23,0x5e58538cc693b1099c68d7fef963c1f148dae8cb,0x216fb666dd61600e74f7b2ca25a38aa99db1a4e9,5,640,Multicall
0xf835ea5b0726069d0f3d93f097e640167ba91a47cf0bf87684b85f552b019d9f,16086253,1669853039,2022-12-01 00:03:59,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0x74de5d4fcbf63e00296fd95d33236b9794016631,3,994.428469929,Swap
0xf835ea5b0726069d0f3d93f097e640167ba91a47cf0bf87684b85f552b019d9f,16086253,1669853039,2022-12-01 00:03:59,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xed3a1a368a49c6cce4715aa167999c2b72588bde,3,994.428469929,Swap
0xfecea93cd1014c3e68f1254c1d1e28ef8c22b17efcaaa84d0dba195a19b7fe8c,16086268,1669853231,2022-12-01 00:07:11,0x279fbe93196ecad9d24d62077428aced0d926c2d,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,735,Multicall
0x1257099efa6070efbb1abc3d2e1652aecbb140197cbeb088836a0f36b9939457,16086279,1669853363,2022-12-01 00:09:23,0xe848d8dbaffcbc7ea516c37da2f789150c1d159d,0x382ffce2287252f930e1c8dc9328dac5bf282ba1,22.163823391,Proxied Swap
0x1257099efa6070efbb1abc3d2e1652aecbb140197cbeb088836a0f36b9939457,16086279,1669853363,2022-12-01 00:09:23,0xe848d8dbaffcbc7ea516c37da2f789150c1d159d,0xe66b31678d6c16e9ebf358268a790b763c133750,2,194.218515775,Proxied Swap
0x1257099efa6070efbb1abc3d2e1652aecbb140197cbeb088836a0f36b9939457,16086279,1669853363,2022-12-01 00:09:23,0xe66b31678d6c16e9ebf358268a790b763c133750,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,2,194.218515775,Proxied Swap
0x8ba64da0912d29ca6a8cdd5fb08da748cc5068dd0ed5755bdedc76e536d7da5d,16086283,1669853411,2022-12-01 00:10:11,0x279fbe93196ecad9d24d62077428aced0d926c2d,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,1,270,Multicall
0xc8b8336cc28cfc0010c12141467c2d6c885f9d163eda5780141e1e4dca5ad04d,16086307,1669853699,2022-12-01 00:14:59,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0x3ea3e3e027ed595f18d4e8222ee0d155da5265ec,6,489.775400782,Multicall
0x1333a78a87b3068fc68e28f85d27c13d022c396c3414b7d0fa1acbc28d29b69b,16086330,1669853975,2022-12-01 00:19:35,0x67cea36eeb36ace126a3ca6e21405258130cf33c,0x0e9e393e145c98343bc13b29c1371412c1babc45,19,605.462173531,Multicall
0x06764845014a31cda0d8075cbb838ddada826704edc940a7ed19ffe81ae37650,16086352,1669854239,2022-12-01 00:23:59,0xd4aef7876a1ba7900d6b9eb9af1f7ee04fe769e6,0x67cea36eeb36ace126a3ca6e21405258130cf33c,4,000,Unoswap
0x73fa3b0a6ef83221ae701fe8eece18f566a45f9bb7658c7718db772b37fde5a3,16086394,1669854755,2022-12-01 00:32:35,0xa1af3bb298673f46cf1299efc7e73e7b2e2d20b8,0xe66b31678d6c16e9ebf358268a790b763c133750,829.4812867,Proxied Swap
