id,created_by,enabled,last_update_date_time,time_created,updated_by,date_time,block_number,method,quantity,tx_hash,from_account_id,to_account_id
1,1,true,2023-01-15 22:50:48.304644,2023-01-15 22:50:48.304633,1,1970-01-20 08:50:52.823000,16086235,000,1,0x7225cfbbce0bbba856f7b5f41513c1526c668f9a5169a1163a3d13fed7b19d18,1,2
2,1,true,2023-01-15 22:50:48.337888,2023-01-15 22:50:48.337878,1,1970-01-20 08:50:52.943000,16086245,640,5,0x4936b65e6b968ba2119d549c614e4c73418fe6e70f59aa1fea3213f48c97d128,3,4
3,1,true,2023-01-15 22:50:48.368826,2023-01-15 22:50:48.368816,1,1970-01-20 08:50:53.039000,16086253,994.428469929,3,0xf835ea5b0726069d0f3d93f097e640167ba91a47cf0bf87684b85f552b019d9f,5,6
4,1,true,2023-01-15 22:50:48.399462,2023-01-15 22:50:48.399449,1,1970-01-20 08:50:53.039000,16086253,994.428469929,3,0xf835ea5b0726069d0f3d93f097e640167ba91a47cf0bf87684b85f552b019d9f,6,7
5,1,true,2023-01-15 22:50:48.419355,2023-01-15 22:50:48.419342,1,1970-01-20 08:50:53.231000,16086268,Multicall,735,0xfecea93cd1014c3e68f1254c1d1e28ef8c22b17efcaaa84d0dba195a19b7fe8c,8,5
6,1,true,2023-01-15 22:50:48.442512,2023-01-15 22:50:48.442499,1,1970-01-20 08:50:53.363000,16086279,Proxied Swap,22.163823391,0x1257099efa6070efbb1abc3d2e1652aecbb140197cbeb088836a0f36b9939457,9,10
7,1,true,2023-01-15 22:50:48.462455,2023-01-15 22:50:48.462446,1,1970-01-20 08:50:53.363000,16086279,194.218515775,2,0x1257099efa6070efbb1abc3d2e1652aecbb140197cbeb088836a0f36b9939457,9,11
8,1,true,2023-01-15 22:50:48.473476,2023-01-15 22:50:48.473429,1,1970-01-20 08:50:53.363000,16086279,194.218515775,2,0x1257099efa6070efbb1abc3d2e1652aecbb140197cbeb088836a0f36b9939457,11,5
9,1,true,2023-01-15 22:50:48.485202,2023-01-15 22:50:48.485193,1,1970-01-20 08:50:53.411000,16086283,270,1,0x8ba64da0912d29ca6a8cdd5fb08da748cc5068dd0ed5755bdedc76e536d7da5d,8,5
10,1,true,2023-01-15 22:50:48.503148,2023-01-15 22:50:48.503138,1,1970-01-20 08:50:53.699000,16086307,489.775400782,6,0xc8b8336cc28cfc0010c12141467c2d6c885f9d163eda5780141e1e4dca5ad04d,5,12
